"Time","TTI 0.95"
2024-04-24 08:04:00,144 ms
2024-04-24 08:06:00,144 ms
2024-04-24 08:08:00,144 ms
2024-04-24 08:10:00,144 ms
2024-04-24 08:12:00,144 ms
2024-04-24 08:14:00,144 ms
2024-04-24 08:16:00,143 ms
2024-04-24 08:18:00,143 ms
2024-04-24 08:20:00,143 ms
2024-04-24 08:22:00,143 ms
2024-04-24 08:24:00,143 ms
2024-04-24 08:26:00,144 ms
2024-04-24 08:28:00,144 ms
2024-04-24 08:30:00,146 ms
2024-04-24 08:32:00,145 ms
2024-04-24 08:34:00,145 ms
2024-04-24 08:36:00,145 ms
2024-04-24 08:38:00,145 ms
2024-04-24 08:40:00,145 ms
2024-04-24 08:42:00,145 ms
2024-04-24 08:44:00,144 ms
2024-04-24 08:46:00,144 ms
2024-04-24 08:48:00,144 ms
2024-04-24 08:50:00,144 ms
2024-04-24 08:52:00,144 ms
2024-04-24 08:54:00,143 ms
2024-04-24 08:56:00,143 ms
2024-04-24 08:58:00,143 ms
2024-04-24 09:00:00,143 ms
2024-04-24 09:02:00,143 ms
2024-04-24 09:04:00,143 ms
2024-04-24 09:06:00,143 ms
2024-04-24 09:08:00,143 ms
2024-04-24 09:10:00,142 ms
2024-04-24 09:12:00,143 ms
2024-04-24 09:14:00,143 ms
2024-04-24 09:16:00,144 ms
2024-04-24 09:18:00,143 ms
2024-04-24 09:20:00,143 ms
2024-04-24 09:22:00,142 ms
2024-04-24 09:24:00,142 ms
2024-04-24 09:26:00,142 ms
2024-04-24 09:28:00,141 ms
2024-04-24 09:30:00,141 ms
2024-04-24 09:32:00,141 ms
2024-04-24 09:34:00,141 ms
2024-04-24 09:36:00,141 ms
2024-04-24 09:38:00,141 ms
2024-04-24 09:40:00,143 ms
2024-04-24 09:42:00,143 ms
2024-04-24 09:44:00,144 ms
2024-04-24 09:46:00,144 ms
2024-04-24 09:48:00,144 ms
2024-04-24 09:50:00,144 ms
2024-04-24 09:52:00,144 ms
2024-04-24 09:54:00,144 ms
2024-04-24 09:56:00,144 ms
2024-04-24 09:58:00,144 ms
2024-04-24 10:00:00,144 ms
2024-04-24 10:02:00,143 ms
2024-04-24 10:04:00,143 ms
2024-04-24 10:06:00,144 ms
2024-04-24 10:08:00,143 ms
2024-04-24 10:10:00,143 ms
2024-04-24 10:12:00,144 ms
2024-04-24 10:14:00,144 ms
2024-04-24 10:16:00,143 ms
2024-04-24 10:18:00,143 ms
2024-04-24 10:20:00,143 ms
2024-04-24 10:22:00,143 ms
2024-04-24 10:24:00,142 ms
2024-04-24 10:26:00,143 ms
2024-04-24 10:28:00,143 ms
2024-04-24 10:30:00,143 ms
2024-04-24 10:32:00,143 ms
2024-04-24 10:34:00,143 ms
2024-04-24 10:36:00,143 ms
2024-04-24 10:38:00,143 ms
2024-04-24 10:40:00,143 ms
2024-04-24 10:42:00,143 ms
2024-04-24 10:44:00,143 ms
2024-04-24 10:46:00,143 ms
2024-04-24 10:48:00,143 ms
2024-04-24 10:50:00,143 ms
2024-04-24 10:52:00,143 ms
2024-04-24 10:54:00,142 ms
2024-04-24 10:56:00,142 ms
2024-04-24 10:58:00,142 ms
2024-04-24 11:00:00,143 ms
2024-04-24 11:02:00,143 ms
2024-04-24 11:04:00,143 ms
2024-04-24 11:06:00,144 ms
2024-04-24 11:08:00,144 ms
2024-04-24 11:10:00,144 ms
2024-04-24 11:12:00,145 ms
2024-04-24 11:14:00,144 ms
2024-04-24 11:16:00,144 ms
2024-04-24 11:18:00,144 ms
2024-04-24 11:20:00,144 ms
2024-04-24 11:22:00,144 ms
2024-04-24 11:24:00,144 ms
2024-04-24 11:26:00,144 ms
2024-04-24 11:28:00,144 ms
2024-04-24 11:30:00,144 ms
2024-04-24 11:32:00,144 ms
2024-04-24 11:34:00,144 ms
2024-04-24 11:36:00,144 ms
2024-04-24 11:38:00,144 ms
2024-04-24 11:40:00,144 ms
2024-04-24 11:42:00,143 ms
2024-04-24 11:44:00,143 ms
2024-04-24 11:46:00,144 ms
2024-04-24 11:48:00,144 ms
2024-04-24 11:50:00,144 ms
2024-04-24 11:52:00,143 ms
2024-04-24 11:54:00,143 ms
2024-04-24 11:56:00,143 ms
2024-04-24 11:58:00,142 ms
2024-04-24 12:00:00,142 ms
2024-04-24 12:02:00,143 ms
2024-04-24 12:04:00,144 ms
2024-04-24 12:06:00,143 ms
2024-04-24 12:08:00,144 ms
2024-04-24 12:10:00,144 ms
2024-04-24 12:12:00,143 ms
2024-04-24 12:14:00,143 ms
2024-04-24 12:16:00,143 ms
2024-04-24 12:18:00,144 ms
2024-04-24 12:20:00,144 ms
2024-04-24 12:22:00,144 ms
2024-04-24 12:24:00,143 ms
2024-04-24 12:26:00,143 ms
2024-04-24 12:28:00,143 ms
2024-04-24 12:30:00,142 ms
2024-04-24 12:32:00,142 ms
2024-04-24 12:34:00,142 ms
2024-04-24 12:36:00,142 ms
2024-04-24 12:38:00,142 ms
2024-04-24 12:40:00,142 ms
2024-04-24 12:42:00,142 ms
2024-04-24 12:44:00,142 ms
2024-04-24 12:46:00,142 ms
2024-04-24 12:48:00,142 ms
2024-04-24 12:50:00,142 ms
2024-04-24 12:52:00,142 ms
2024-04-24 12:54:00,142 ms
2024-04-24 12:56:00,142 ms
2024-04-24 12:58:00,141 ms
2024-04-24 13:00:00,141 ms
2024-04-24 13:02:00,141 ms
2024-04-24 13:04:00,141 ms
2024-04-24 13:06:00,141 ms
2024-04-24 13:08:00,141 ms
2024-04-24 13:10:00,141 ms
2024-04-24 13:12:00,141 ms
2024-04-24 13:14:00,140 ms
2024-04-24 13:16:00,140 ms
2024-04-24 13:18:00,140 ms
2024-04-24 13:20:00,140 ms
2024-04-24 13:22:00,140 ms
2024-04-24 13:24:00,140 ms
2024-04-24 13:26:00,139 ms
2024-04-24 13:28:00,140 ms
2024-04-24 13:30:00,140 ms
2024-04-24 13:32:00,139 ms
2024-04-24 13:34:00,139 ms
2024-04-24 13:36:00,139 ms
2024-04-24 13:38:00,140 ms
2024-04-24 13:40:00,139 ms
2024-04-24 13:42:00,139 ms
2024-04-24 13:44:00,140 ms
2024-04-24 13:46:00,140 ms
2024-04-24 13:48:00,140 ms
2024-04-24 13:50:00,140 ms
2024-04-24 13:52:00,141 ms
2024-04-24 13:54:00,140 ms
2024-04-24 13:56:00,140 ms
2024-04-24 13:58:00,134 ms
2024-04-24 14:00:00,131 ms
2024-04-24 14:02:00,129 ms
2024-04-24 14:04:00,120 ms
2024-04-24 14:06:00,115 ms
2024-04-24 14:08:00,112 ms
2024-04-24 14:10:00,111 ms
2024-04-24 14:12:00,107 ms
2024-04-24 14:14:00,99.4 ms
2024-04-24 14:16:00,95.5 ms
2024-04-24 14:18:00,93.9 ms
2024-04-24 14:20:00,89.7 ms
2024-04-24 14:22:00,84.4 ms
2024-04-24 14:24:00,80.1 ms
2024-04-24 14:26:00,78.9 ms
2024-04-24 14:28:00,78.1 ms
2024-04-24 14:30:00,80.7 ms
2024-04-24 14:32:00,83.1 ms
2024-04-24 14:34:00,89.4 ms
2024-04-24 14:36:00,90.9 ms
2024-04-24 14:38:00,92.4 ms
2024-04-24 14:40:00,94.9 ms
2024-04-24 14:42:00,95.5 ms
2024-04-24 14:44:00,97.3 ms
2024-04-24 14:46:00,99.1 ms
2024-04-24 14:48:00,104 ms
2024-04-24 14:50:00,116 ms
2024-04-24 14:52:00,130 ms
2024-04-24 14:54:00,132 ms
2024-04-24 14:56:00,137 ms
2024-04-24 14:58:00,138 ms
2024-04-24 15:00:00,139 ms
2024-04-24 15:02:00,149 ms
2024-04-24 15:04:00,152 ms
2024-04-24 15:06:00,159 ms
2024-04-24 15:08:00,171 ms
2024-04-24 15:10:00,188 ms
2024-04-24 15:12:00,188 ms
2024-04-24 15:14:00,191 ms
2024-04-24 15:16:00,190 ms
2024-04-24 15:18:00,191 ms
2024-04-24 15:20:00,195 ms
2024-04-24 15:22:00,204 ms
2024-04-24 15:24:00,206 ms
2024-04-24 15:26:00,215 ms
2024-04-24 15:28:00,213 ms
2024-04-24 15:30:00,211 ms
2024-04-24 15:32:00,226 ms
2024-04-24 15:34:00,223 ms
2024-04-24 15:36:00,218 ms
2024-04-24 15:38:00,216 ms
2024-04-24 15:40:00,211 ms
2024-04-24 15:42:00,208 ms
2024-04-24 15:44:00,269 ms
2024-04-24 15:46:00,276 ms
2024-04-24 15:48:00,270 ms
2024-04-24 15:50:00,264 ms
2024-04-24 15:52:00,252 ms
2024-04-24 15:54:00,242 ms
2024-04-24 15:56:00,236 ms
2024-04-24 15:58:00,231 ms
2024-04-24 16:00:00,232 ms
2024-04-24 16:02:00,231 ms
2024-04-24 16:04:00,216 ms
2024-04-24 16:06:00,216 ms
2024-04-24 16:08:00,212 ms
2024-04-24 16:10:00,216 ms
2024-04-24 16:12:00,216 ms
2024-04-24 16:14:00,211 ms
2024-04-24 16:16:00,210 ms
2024-04-24 16:18:00,208 ms
2024-04-24 16:20:00,202 ms
2024-04-24 16:22:00,205 ms
2024-04-24 16:24:00,201 ms
2024-04-24 16:26:00,196 ms
2024-04-24 16:28:00,193 ms
2024-04-24 16:30:00,192 ms
2024-04-24 16:32:00,188 ms
2024-04-24 16:34:00,189 ms
2024-04-24 16:36:00,184 ms
2024-04-24 16:38:00,178 ms
2024-04-24 16:40:00,174 ms
2024-04-24 16:42:00,170 ms
2024-04-24 16:44:00,168 ms
2024-04-24 16:46:00,165 ms
2024-04-24 16:48:00,161 ms
2024-04-24 16:50:00,159 ms
2024-04-24 16:52:00,156 ms
2024-04-24 16:54:00,155 ms
2024-04-24 16:56:00,154 ms
2024-04-24 16:58:00,153 ms
2024-04-24 17:00:00,155 ms
2024-04-24 17:02:00,157 ms
2024-04-24 17:04:00,156 ms
2024-04-24 17:06:00,159 ms
2024-04-24 17:08:00,162 ms
2024-04-24 17:10:00,161 ms
2024-04-24 17:12:00,157 ms
2024-04-24 17:14:00,157 ms
2024-04-24 17:16:00,153 ms
2024-04-24 17:18:00,149 ms
2024-04-24 17:20:00,144 ms
2024-04-24 17:22:00,141 ms
2024-04-24 17:24:00,153 ms
2024-04-24 17:26:00,150 ms
2024-04-24 17:28:00,146 ms
2024-04-24 17:30:00,143 ms
2024-04-24 17:32:00,142 ms
2024-04-24 17:34:00,141 ms
2024-04-24 17:36:00,139 ms
2024-04-24 17:38:00,137 ms
2024-04-24 17:40:00,136 ms
2024-04-24 17:42:00,137 ms
2024-04-24 17:44:00,137 ms
2024-04-24 17:46:00,136 ms
2024-04-24 17:48:00,134 ms
2024-04-24 17:50:00,134 ms
2024-04-24 17:52:00,133 ms
2024-04-24 17:54:00,133 ms
2024-04-24 17:56:00,149 ms
2024-04-24 17:58:00,151 ms
2024-04-24 18:00:00,152 ms
2024-04-24 18:02:00,153 ms
2024-04-24 18:04:00,153 ms
2024-04-24 18:06:00,153 ms
2024-04-24 18:08:00,152 ms
2024-04-24 18:10:00,153 ms
2024-04-24 18:12:00,152 ms
2024-04-24 18:14:00,151 ms
2024-04-24 18:16:00,150 ms
2024-04-24 18:18:00,148 ms
2024-04-24 18:20:00,147 ms
2024-04-24 18:22:00,146 ms
2024-04-24 18:24:00,144 ms
2024-04-24 18:26:00,143 ms
2024-04-24 18:28:00,143 ms
2024-04-24 18:30:00,141 ms
2024-04-24 18:32:00,141 ms
2024-04-24 18:34:00,142 ms
2024-04-24 18:36:00,143 ms
2024-04-24 18:38:00,142 ms
2024-04-24 18:40:00,143 ms
2024-04-24 18:42:00,145 ms
2024-04-24 18:44:00,143 ms
2024-04-24 18:46:00,142 ms
2024-04-24 18:48:00,141 ms
2024-04-24 18:50:00,141 ms
2024-04-24 18:52:00,141 ms
2024-04-24 18:54:00,140 ms
2024-04-24 18:56:00,144 ms
2024-04-24 18:58:00,144 ms
2024-04-24 19:00:00,146 ms
2024-04-24 19:02:00,145 ms
2024-04-24 19:04:00,147 ms
2024-04-24 19:06:00,147 ms
2024-04-24 19:08:00,147 ms
2024-04-24 19:10:00,147 ms
2024-04-24 19:12:00,146 ms
2024-04-24 19:14:00,146 ms
2024-04-24 19:16:00,145 ms
2024-04-24 19:18:00,145 ms
2024-04-24 19:20:00,145 ms
2024-04-24 19:22:00,144 ms
2024-04-24 19:24:00,146 ms
2024-04-24 19:26:00,146 ms
2024-04-24 19:28:00,146 ms
2024-04-24 19:30:00,146 ms
2024-04-24 19:32:00,145 ms
2024-04-24 19:34:00,145 ms
2024-04-24 19:36:00,147 ms
2024-04-24 19:38:00,148 ms
2024-04-24 19:40:00,148 ms
2024-04-24 19:42:00,147 ms
2024-04-24 19:44:00,148 ms
2024-04-24 19:46:00,149 ms
2024-04-24 19:48:00,149 ms
2024-04-24 19:50:00,149 ms
2024-04-24 19:52:00,150 ms
2024-04-24 19:54:00,150 ms
2024-04-24 19:56:00,150 ms
2024-04-24 19:58:00,151 ms
2024-04-24 20:00:00,150 ms
2024-04-24 20:02:00,150 ms
2024-04-24 20:04:00,150 ms
2024-04-24 20:06:00,149 ms
2024-04-24 20:08:00,149 ms
